Circuit;Type;Direction;Location;Current Length;Grands Prix;Season(s);Grands Prix held
Adelaide Street Circuit;Street;Clockwise;Adelaide, Australia;3.780 km (2.349 mi);Australian Grand Prix;1985-1995;11
Ain-Diab Circuit;Road;Clockwise;Casablanca, Morocco;7.618 km (4.734 mi);Moroccan Grand Prix;1958;1
Aintree;Road;Clockwise;Liverpool, United Kingdom;4.828 km (3.000 mi);British Grand Prix;1955, 1957, 1959, 1961-1962;5
Albert Park;Street;Clockwise;Melbourne, Australia;5.303 km (3.295 mi);Australian Grand Prix;1996-2014;19
AVUS;Street;Anti-clockwise;Berlin, Germany;8.300 km (5.157 mi);German Grand Prix;1959;1
Bahrain International Circuit;Race;Clockwise;Sakhir, Bahrain;5.412 km (3.363 mi);Bahrain Grand Prix;2004-2010, 2012-2014;10
Circuito da Boavista;Street;Anti-clockwise;Porto, Portugal;7.775 km (4.831 mi);Portuguese Grand Prix;1958, 1960;2
Brands Hatch;Race;Clockwise;Kent, United Kingdom;3.703 km (2.301 mi);British Grand Prix;1964, 1966, 1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982-1986;14
Circuit Bremgarten;Road;Clockwise;Bremgarten, Switzerland;7.208 km (4.479 mi);Swiss Grand Prix;1950-1954;5
Buddh International Circuit;Race;Clockwise;India;5.141 km (3.194 mi);Indian Grand Prix;2011-2013;3
Bugatti Circuit;Race;Clockwise;Le Mans, France;4.273 km (2.655 mi);French Grand Prix;1967;1
Caesars Palace;Street;Anti-clockwise;Las Vegas, United States;3.650 km (2.268 mi);Caesars Palace Grand Prix;1981-1982;2
Circuit de Barcelona-Catalunya;Race;Clockwise;Montmeló, Spain;4.655 km (2.892 mi);Spanish Grand Prix;1991-2014;24
Charade Circuit;Road;Clockwise;Clermont-Ferrand, France;8.055 km (5.005 mi);French Grand Prix;1965, 1969-1970, 1972;4
Circuit of the Americas;Race;Anti-clockwise;Austin, United States;5.470 km (3.399 mi);United States Grand Prix;2012-2013;2
Detroit street circuit;Street;Anti-clockwise;Detroit, United States;4.168 km (2.590 mi);Detroit Grand Prix;1982-1988;7
Dijon-Prenois;Race;Clockwise;Dijon, France;3.886 km (2.415 mi);French Grand Prix;1974, 1977, 1979, 1981-1982, 1984;6
Donington Park;Race;Clockwise;Leicestershire, United Kingdom;4.020 km (2.498 mi);European Grand Prix;1993;1
Autodromo Enzo e Dino Ferrari;Race;Anti-clockwise;Imola, Italy;4.909 km (3.050 mi);Italian Grand Prix;1980-2006;27
Autódromo do Estoril;Race;Clockwise;Estoril, Portugal;4.182 km (2.599 mi);Portuguese Grand Prix;1984-1996;13
Fair Park;Street;Anti-Clockwise;Dallas, United States;3.901 km (2.424 mi);Dallas Grand Prix;1984;1
Fuji Speedway;Race;Clockwise;Shizuoka, Japan;4.563 km (2.835 mi);Japanese Grand Prix;1976-1977, 2007-2008;4
Circuit Gilles Villeneuve;Street;Clockwise;Montreal, Canada;4.361 km (2.710 mi);Canadian Grand Prix;1978-1986, 1988-2008, 2010-2014;35
Rodríguez Brothers Racetrack;Race;Clockwise;Ciudad de Mexico, Mexico;4.438 km (2.758 mi);Mexican Grand Prix;1963-1970, 1986-1992;15
Hockenheimring;Race;Clockwise;Hockenheim, Germany;4.574 km (2.842 mi);German Grand Prix;1970, 1977-1984, 1986-2006, 2008, 2010, 2012, 2014;34
Hungaroring;Race;Clockwise;Budapest, Hungary;4.381 km (2.722 mi);Hungarian Grand Prix;1986-2014;29
Indianapolis Speedway;Race;Clockwise (Road Course), Anti-Clockwise (Oval Track);Indianapolis, United States;4.192 km (2.605 mi);Indianapolis 500[A];1950-1960, 2000-2007;19
Istanbul Park;Race;Anti-clockwise;Istanbul, Turkey;5.338 km (3.317 mi);Turkish Grand Prix;2005-2011;7
Autódromo Internacional Nelson Piquet;Race;Anti-clockwise;Rio de Janeiro, Brazil;5.031 km (3.126 mi);Brazilian Grand Prix;1978, 1981-1989;10
Jarama;Race;Clockwise;Jarama, Spain;3.404 km (2.115 mi);Spanish Grand Prix;1968, 1970, 1972, 1974, 1976-1979, 1981;9
Circuito de Jerez;Race;Clockwise;Jerez de la Frontera, Spain;4.428 km (2.751 mi);Spanish Grand Prix;1986-1990, 1994, 1997;7
Interlagos;Race;Anti-clockwise;São Paulo, Brazil;4.309 km (2.677 mi);Brazilian Grand Prix;1973-1977, 1979-1980, 1990-2013;31
Korea International Circuit;Race;Anti-clockwise;Yeongam, South Korea;5.615 km (3.489 mi);Korean Grand Prix;2010-2013;4
Kyalami;Race;Anti-clockwise;Midrand, South Africa;4.200 km (2.610 mi);South African Grand Prix;1967-1980, 1982-1985, 1992-1993;20
Long Beach street circuit;Street;Clockwise;Long Beach, United States;3.251 km (2.020 mi);United States Grand Prix West;1976-1983;8
Circuit de Nevers Magny-Cours;Race;Clockwise;Nevers, France;4.411 km (2.741 mi);French Grand Prix;1991-2008;18
Marina Bay Street Circuit;Street;Anti-clockwise;Singapore;5.065 km (3.147 mi);Singapore Grand Prix;2008-2014;7
Circuito de Monsanto;Street;Clockwise;Lisbon, Portugal;5.440 km (3.380 mi);Portuguese Grand Prix;1959;1
Circuit de Monaco;Street;Clockwise;Monaco;3.340 km (2.075 mi);Monaco Grand Prix;1950, 1955-2014;61
Montjuïc circuit;Street;Anti-clockwise;Barcelona, Spain;3.791 km (2.356 mi);Spanish Grand Prix;1969, 1971, 1973, 1975;4
Circuit Mont-Tremblant;Race;Clockwise;Mont-Tremblant, Canada;4.265 km (2.650 mi);Canadian Grand Prix;1968, 1970;2
Autodromo Nazionale Monza;Race;Clockwise;Monza, Italy;5.793 km (3.600 mi);Italian Grand Prix;1950-1979, 1981-2014;64
Mosport Raceway;Race;Clockwise;Bowmanville, Canada;3.957 km (2.459 mi);Canadian Grand Prix;1967, 1969, 1971-1977;8
Nivelles-Baulers;Race;Clockwise;Nivelles, Belgium;3.724 km (2.314 mi);Belgian Grand Prix;1972, 1974;2
Nürburgring;Race;Clockwise;Nürburg, Germany;5.148 km (3.199 mi);German Grand Prix;1951-1954, 1956-1958, 1961-1969, 1971-1976, 1984-1985, 1995-2007, 2009, 2011, 2013;40
Autódromo Juan y Oscar Gálvez;Race;Clockwise;Buenos Aires, Argentina;4.206 km (2.613 mi);Argentine Grand Prix;1953-1958, 1960, 1972-1975, 1977-1981, 1995-1998;20
Circuit Paul Ricard;Race;Clockwise;Castellet, France;5.800 km (3.604 mi);French Grand Prix;1971, 1973, 1975-1976, 1978, 1980, 1982-1983, 1985-1990;14
Pedralbes Circuit;Street;Clockwise;Barcelona, Spain;6.316 km (3.925 mi);Spanish Grand Prix;1951, 1954;2
Pescara Circuit;Road;Clockwise;Pescara, Italy;25.800 km (16.031 mi);Pescara Grand Prix;1957;1
Phoenix street circuit;Street;Anti-clockwise;Phoenix, United States;3.720 km (2.312 mi);United States Grand Prix;1989-1991;3
Prince George Circuit;Race;Clockwise;East London, South Africa;3.920 km (2.436 mi);South African Grand Prix;1962-1963, 1965;3
Red Bull Ring;Race;Clockwise;Zeltweg, Austria;4.326 km (2.688 mi);Austrian Grand Prix;1970-1987, 1997-2003, 2014;26
Reims-Gueux;Road;Clockwise;Reims, France;8.302 km (5.159 mi);French Grand Prix;1950-1951, 1953-1954, 1956, 1958-1961, 1963, 1966;11
Riverside International Raceway;Race;Clockwise;Riverside, United States;5.271 km (3.275 mi);United States Grand Prix;1960;1
Rouen-Les-Essarts;Road;Clockwise;Rouen, France;6.542 km (4.065 mi);French Grand Prix;1952, 1957, 1962, 1964, 1968;5
Scandinavian Raceway;Race;Clockwise;Anderstorp, Sweden;4.025 km (2.501 mi);Swedish Grand Prix;1973-1978;6
Sebring;Road;Clockwise;Sebring, United States;8.356 km (5.192 mi);United States Grand Prix;1959;1
Sepang International Circuit;Race;Clockwise;Kuala Lumpur, Malaysia;5.543 km (3.444 mi);Malaysian Grand Prix;1999-2014;16
Shanghai International Circuit;Race;Clockwise;Shanghai, China;5.451 km (3.387 mi);Chinese Grand Prix;2004-2014;11
Silverstone Circuit;Race;Clockwise;Silverstone, United Kingdom;5.901 km (3.667 mi);British Grand Prix;1950-1954, 1956, 1958, 1960, 1963, 1965, 1967, 1969, 1971, 1973, 1975, 1977, 1979, 1981, 1983, 1985, 1987-2014;48
Spa-Francorchamps;Race;Clockwise;Belgium;7.004 km (4.352 mi);Belgian Grand Prix;1950-1956, 1958, 1960-1968, 1970, 1983, 1985-2002, 2004-2005, 2007-2014;47
Suzuka Circuit;Race;Both;Suzuka, Japan;5.807 km (3.608 mi);Japanese Grand Prix;1987-2006, 2009-2013;25
Tanaka International Circuit;Race;Clockwise;Aida, Japan;3.703 km (2.301 mi);Pacific Grand Prix;1994-1995;2
Valencia Street Circuit;Street;Clockwise;Valencia, Spain;5.419 km (3.367 mi);European Grand Prix;2008-2012;5
Watkins Glen;Race;Clockwise;Watkins Glen, United States;5.430 km (3.374 mi);United States Grand Prix;1961-1980;20
Yas Marina Circuit;Race;Anti-clockwise;Abu Dhabi, United Arab Emirates;5.554 km (3.451 mi);Abu Dhabi Grand Prix;2009-2013;5
Circuit Park Zandvoort;Race;Clockwise;Zandvoort, Netherlands;4.252 km (2.642 mi);Dutch Grand Prix;1952-1953, 1955, 1958-1971, 1973-1985;30
Zeltweg Airfield;Road;Clockwise;Zeltweg, Austria;3.186 km (1.980 mi);Austrian Grand Prix;1964;1
Circuit Zolder;Race;Clockwise;Heusden-Zolder, Belgium;4.011 km (2.492 mi);Belgian Grand Prix;1973, 1975-1982, 1984;10
